"","DEU1","DEU2","DEU3","DEU4","DEU5","DEU6","DEU7","DEU8","DEU9","DEU10","DEU11","DEU12","DEU13","DEU14","DEU15","DEU16","DEU17","DEU18","DEU19","DEU20","DEU21","DEU22","DEU23","DEU24","DEU25","DEU26","DEU27","DEU28","DEU29","DEU30","DEU31","DEU32","DEU33","DEU34","DEU35","DEU36","DEU37","DEU38","DEU39","DEU40","DEU41","DEU42","DEU43","DEU44","DEU45","DEU46","DEU47","DEU48","DEU49","DEU50","DEU51","DEU52","DEU53","DEU54","DEU55","DEU56"
"V606","3.125928e+02","1.034606e+01","1.457160e-02","2.705789e+02","7.606760e+02","1.531750e+01","2.483284e+02","3.569026e+02","1.851473e+01","1.939031e+02","1.987759e+03","6.205641e+02","1.231655e+03","1.183074e+03","5.963057e+02","1.105884e+03","1.172741e+03","1.863582e+03","2.205041e+03","1.816441e+03"," 8.683171e+02","1.564595e+02","6.639387e+02","2.281274e+03","3.083568e+02","2.995035e+03","2.820125e+03","2.838438e+01","2.835233e+02","3.917744e+02","1.627767e+03","3.604895e+01","1.273786e+02","1.395774e+03","3.529867e+01","1.410652e+02","1.012380e+02","2.281144e+01","2.601293e+02","4.964581e+02","6.768867e+02","1.475100e+02","1.201611e+02","1.502444e+03","8.732584e+02","2.153785e+03","4.468146e+02","1.567043e+02","2.445772e+02","1.169413e+03","1.571368e+03","3.939081e+02","3.005903e+02","3.267803e+02","   0.000","0"
"V607","8.301233e+00","3.108299e-01","8.213496e-03","6.708176e+00","2.938181e+01","3.001495e+00","6.764611e+00","1.142080e+01","2.240363e+01","8.954648e+00","7.794756e+01","4.622921e+01","3.632093e+01","3.016337e+01","2.209100e+01","4.294865e+01","6.745327e+01","6.433507e+01","1.072827e+02","1.597406e+02"," 3.733049e+01","1.222119e+01","2.309952e+01","5.810082e+01","7.385831e+00","7.762435e+01","6.948685e+01","5.691381e+00","3.344026e+01","4.391381e+01","5.123415e+01","1.040717e+00","6.916270e+00","5.067641e+01","1.444746e+01","6.031349e+00","5.477075e+01","1.041923e+01","5.479285e+01","3.879835e+02","1.122160e+02","2.483942e+01","1.104581e+01","4.823136e+01","5.535573e+01","6.234844e+01","1.678701e+02","1.131689e+01","1.348362e+01","6.049973e+01","1.525975e+02","3.526441e+02","6.451244e+01","2.474787e+01","   0.000","0"
"V608","5.890200e+01","4.927126e+00","1.056988e+00","8.681488e+01","5.347922e+03","1.301736e+02","3.952762e+01","1.225700e+02","3.035438e+01","4.483082e+02","2.006780e+03","9.746741e+02","4.428376e+02","2.347737e+02","1.036193e+02","2.707373e+02","5.330321e+02","4.115524e+02","6.021177e+02","1.939016e+03"," 7.603446e+01","6.009976e+02","1.233822e+02","2.296271e+02","3.515177e+01","5.566473e+01","1.345370e+02","8.541311e+02","1.243525e+03","2.351849e+03","2.389371e+02","6.847591e+00","5.511582e+01","6.190354e+01","1.963011e+02","1.235454e+02","7.606950e+02","2.242365e+02","2.499936e+02","2.975102e+02","7.164674e+02","5.453271e+02","2.214280e+01","4.633893e+01","3.311736e+02","1.330206e+02","1.702397e+02","1.462673e+02","7.676583e+01","9.910699e+02","3.407990e+02","1.011594e+02","1.296940e+02","4.257026e+02","   0.000","0"
"V609","6.998174e+02","5.067363e-01","1.448110e-02","2.758285e+01","2.483973e+02","6.931132e+02","1.658492e+01","4.976451e+01","5.058268e+01","7.679752e+01","3.747347e+02","8.673388e+01","1.287105e+02","1.200795e+02","6.403843e+01","1.542710e+02","2.313386e+02","2.178251e+02","4.618413e+02","6.792628e+02"," 5.234676e+01","6.073983e+02","6.897700e+01","1.968250e+02","1.468566e+01","1.509006e+02","1.495786e+02","8.946134e+01","2.711798e+02","3.272441e+02","1.459874e+02","3.135606e+00","5.353270e+00","3.732642e+01","1.945079e+01","1.687577e+02","9.137288e+02","2.082264e+02","1.988426e+02","3.522228e+02","1.142554e+03","8.489460e+02","7.576809e+02","5.467125e+02","1.493441e+03","4.635623e+02","8.356704e+01","2.264335e+02","6.145129e+02","8.643429e+02","4.842478e+02","7.570748e+01","4.119289e+02","5.288155e+02","   0.000","0"
"V610","6.628086e+03","2.291080e+02","8.057802e+00","4.195600e+02","6.611187e+03","6.017856e+02","1.052011e+03","1.250405e+03","1.375715e+03","8.582722e+02","4.585182e+03","1.619445e+03","3.111523e+03","2.263123e+03","2.078114e+03","4.845994e+03","2.586115e+03","3.248448e+03","8.085894e+03","8.851325e+03"," 2.262582e+03","1.694019e+03","2.414095e+03","4.207374e+03","2.465801e+02","3.321382e+03","1.266504e+04","1.118997e+03","9.127357e+03","9.183001e+03","5.014676e+03","1.564674e+03","4.062807e+03","5.948844e+03","8.186120e+02","3.600226e+03","2.628839e+03","1.371933e+03","2.831662e+03","3.211618e+03","6.517566e+03","2.879761e+03","2.279046e+03","2.759696e+03","3.085472e+03","2.039503e+03","1.103531e+03","6.123894e+02","1.027737e+03","4.432659e+04","7.109889e+03","2.134980e+03","7.729155e+03","6.052777e+03","   0.000","0"
"V611","4.586814e+02","9.947552e+01","3.985644e+00","2.708649e+02","1.867848e+03","1.651924e+02","2.481153e+02","3.545752e+02","1.739791e+02","3.220733e+02","1.485409e+03","4.152617e+02","6.025441e+02","6.742057e+02","6.268402e+02","6.057495e+02","4.795839e+02","6.457310e+02","8.625904e+02","1.485633e+03"," 1.580302e+02","2.868170e+02","1.791138e+02","1.075885e+04","2.019076e+02","8.276327e+02","5.331464e+03","2.424406e+02","5.563532e+02","9.928297e+02","6.713014e+02","3.421504e+01","5.530684e+01","4.389420e+02","8.355773e+01","7.960019e+02","1.364005e+02","1.813156e+02","2.154379e+02","6.913973e+02","5.364820e+02","2.688709e+02","4.669386e+01","3.015228e+03","3.422917e+03","1.591539e+03","2.871932e+02","6.059119e+02","9.343133e+02","2.597845e+03","5.845560e+03","5.410603e+02","1.192164e+03","1.019922e+03","   0.000","0"
"V612","2.777024e+01","6.180763e-02","9.439384e-05","2.597311e+00","1.435889e+02","4.191826e+00","1.559291e+00","3.492643e+00","3.256955e+00","4.294926e+01","2.076432e+02","1.642980e+02","4.562849e+01","1.007948e+01","1.805431e+01","1.138489e+02","2.056910e+02","2.279464e+02","3.970029e+02","1.170736e+03"," 1.324488e+02","3.611691e+01","6.388679e+01","4.878486e+01","2.067874e+00","2.536077e+01","2.797703e+01","8.463345e+00","3.975241e+01","3.406404e+01","1.410426e+02","8.337881e-01","6.364100e+01","2.621356e+01","9.192831e+01","4.690886e+00","7.409436e+01","2.454920e+01","3.069470e+02","8.415633e+02","9.940295e+02","1.371451e+02","7.051652e+01","4.837344e+02","3.993174e+01","5.147917e+01","9.294920e+02","1.397133e+01","3.024321e+01","1.340694e+02","3.088169e+03","1.062836e+04","4.034338e+02","2.670649e+02","   0.000","0"
"V613","5.723434e+00","5.628978e-02","2.953154e-03","2.043835e+00","1.502494e+01","1.777778e+00","1.760206e+00","3.389472e+00","1.268727e+00","3.010654e+00","5.337933e+01","2.808279e+01","1.417347e+01","4.820217e+00","1.534979e+01","1.454174e+01","3.804740e+01","1.752747e+01","4.948875e+01","1.143269e+02"," 1.534399e+01","5.503785e+00","7.542193e+00","1.850765e+01","2.249253e+00","4.176231e+00","3.807278e+00","8.484730e-01","1.176200e+01","3.865625e+01","5.925311e+00","1.093754e+00","5.200259e+00","5.133970e+00","2.191503e+00","3.993347e+01","6.107204e+00","1.369655e+00","1.262063e+01","8.481054e+01","1.434435e+01","1.115569e+01","1.849589e+00","2.238608e+00","9.183545e+00","9.658731e+00","1.539101e+02","1.353730e+00","1.807264e+02","1.962530e+01","1.731358e+02","4.678239e+02","1.285197e+04","2.514583e+02","   0.000","0"
"V614","1.866390e+02","1.241575e+01","2.745136e+00","8.670900e+01","1.095955e+03","1.247685e+02","7.005867e+01","1.271431e+02","1.793357e+02","1.751645e+02","5.608412e+02","3.987369e+02","1.784125e+02","1.751744e+02","2.567092e+02","2.302211e+02","4.173821e+02","3.938241e+02","5.308400e+02","6.807125e+02"," 8.713517e+01","2.546462e+02","7.713617e+01","5.973369e+02","6.194624e+01","5.466137e+02","1.170020e+03","1.929465e+02","5.212410e+02","1.830910e+03","2.780781e+02","3.185375e+01","8.117395e+01","4.787348e+02","3.343478e+01","1.283141e+03","1.877167e+03","1.623333e+03","4.655590e+02","1.123154e+03","1.298015e+03","4.995419e+02","1.249172e+02","3.311157e+02","2.914994e+03","7.639167e+02","2.568133e+02","2.902014e+02","3.844754e+02","9.084167e+02","5.015318e+03","8.133599e+02","2.520314e+03","1.650805e+04","   0.000","0"
"V615","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"," 0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","   0.000","0"
"V616","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"," 0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","   0.000","0"
