"","DEU1","DEU2","DEU3","DEU4","DEU5","DEU6","DEU7","DEU8","DEU9","DEU10","DEU11","DEU12","DEU13","DEU14","DEU15","DEU16","DEU17","DEU18","DEU19","DEU20","DEU21","DEU22","DEU23","DEU24","DEU25","DEU26","DEU27","DEU28","DEU29","DEU30","DEU31","DEU32","DEU33","DEU34","DEU35","DEU36","DEU37","DEU38","DEU39","DEU40","DEU41","DEU42","DEU43","DEU44","DEU45","DEU46","DEU47","DEU48","DEU49","DEU50","DEU51","DEU52","DEU53","DEU54","DEU55","DEU56"
"V595","9.711550e+00","1.367411e+00","0.000000e+00","3.202148e+01","3.477766e+02","1.222217e+02","1.447771e+01","4.786770e+01","1.344293e+02","1.562348e+02","1.089920e+03","5.412773e+02","2.381861e+02","6.364103e+01","6.533524e+01","4.091422e+02","7.603303e+02","9.128237e+02","1.833491e+03","9.018108e+02"," 9.482863e+01","3.768846e+02","2.299233e+02","3.498369e+02","1.944676e+01","8.412520e+01","1.407450e+02","2.749377e+02","3.219866e+03","1.016941e+04","1.390239e+03","1.480995e+01","9.560605e+01","4.164298e+02","2.154352e+02","9.704421e+02","3.044581e+02","1.074649e+02","1.946865e+03","2.697026e+02","7.953815e+02","6.889300e+02","3.670209e+02","5.993941e+01","5.526239e+02","1.815269e+02","1.464000e+02","1.335061e+02","1.803762e+02","1.205560e+03","1.273541e+03","6.209070e+01","6.218284e+02","5.392861e+02","   0.000","0"
"V596","1.436219e+01","1.138693e+00","6.862324e-01","8.354859e+00","1.020136e+02","1.324751e+01","5.743989e+00","7.469072e+00","8.140982e+00","2.374897e+01","1.605879e+02","2.104082e+01","4.652972e+01","1.502993e+01","2.370943e+01","1.614873e+02","8.926305e+01","9.139880e+01","2.903332e+02","1.564866e+02"," 1.537746e+01","3.016948e+01","3.419676e+01","4.329901e+01","2.558889e+00","1.545915e+01","4.967624e+02","2.564662e+01","4.637225e+02","2.393455e+02","3.726623e+02","1.490105e+01","2.787985e+02","3.049151e+02","7.241942e+00","7.464216e+01","4.202008e+01","1.352918e+02","1.142992e+02","1.135716e+02","2.794648e+02","5.972758e+01","2.209438e+02","6.941554e+01","9.637612e+01","3.168804e+01","2.406484e+01","1.429453e+01","2.097321e+01","2.141100e+02","4.122163e+02","3.951495e+01","1.547106e+02","5.076328e+02","   0.000","0"
"V597","2.252534e+01","3.406246e+00","3.149546e-02","9.158174e+00","2.549084e+02","3.309922e+01","5.187998e+00","6.720321e+01","7.124690e+01","8.430600e+01","3.249150e+02","2.108807e+02","9.933601e+01","9.145491e+01","1.054613e+02","1.601981e+02","2.308198e+02","1.737054e+02","3.094691e+02","6.017294e+02"," 7.208379e+01","6.962879e+01","5.984586e+01","1.464139e+02","2.451338e+01","4.275087e+02","2.081762e+02","1.416354e+02","3.814761e+02","1.034893e+03","2.144408e+02","3.162505e+01","3.516657e+01","1.933011e+02","8.480165e+01","6.383120e+02","1.243500e+03","3.031722e+02","3.458606e+02","1.161606e+03","6.094124e+02","3.685896e+02","2.546189e+02","2.545481e+02","1.430738e+03","8.844858e+02","3.501656e+02","3.300932e+02","6.247340e+02","1.404480e+03","2.106026e+03","1.980320e+03","1.656612e+03","1.920234e+03","   0.000","0"
"V598","2.064229e+00","2.608967e-02","1.566505e-03","1.873747e+00","2.498906e+00","4.666836e-01","2.647112e-01","1.104109e+00","3.186554e+00","3.348398e+00","1.001371e+01","5.752961e+00","1.861858e+00","2.972371e+00","3.642692e+00","5.973460e+00","5.118518e+00","5.680764e+00","1.205418e+01","2.105937e+01"," 4.497622e+00","2.774142e+00","2.981590e+00","3.194806e+01","1.617601e+00","2.487168e+00","9.361376e+00","3.185252e-01","1.509439e+01","3.198775e+01","9.643455e-01","8.731727e-02","1.081751e+01","2.369038e+00","4.836762e-01","5.278716e+02","6.703054e+01","7.602674e+03","1.966071e+00","1.449220e+02","6.284754e+01","1.407864e+02","6.002470e+00","1.221760e+01","3.083707e+02","1.053015e+02","1.178138e+01","4.316329e+03","8.881857e+01","2.055586e+02","1.134566e+01","5.869014e+01","2.653186e+02","4.869689e+02","   0.000","0"
"V599","1.329822e+02","1.987365e+01","3.862811e-03","8.991159e+01","2.613373e+02","3.119775e+01","7.097301e+01","8.894436e+01","5.480198e+01","7.562326e+01","3.053944e+02","1.060854e+02","2.188840e+02","1.938790e+02","9.863142e+01","3.624599e+02","2.878374e+02","3.040614e+02","6.448686e+02","4.611888e+02"," 7.603500e+01","7.571520e+01","9.959551e+01","2.641397e+02","3.739144e+01","2.905213e+02","7.918688e+02","8.893654e+01","9.004192e+02","1.112829e+03","3.612742e+02","3.375004e+01","3.739732e+01","4.598741e+02","1.310384e+03","1.149920e+03","1.620637e+03","7.183448e+02","1.718842e+04","1.286104e+03","1.929239e+03","7.300786e+02","4.368344e+02","6.129838e+02","6.837954e+02","4.917966e+02","1.275001e+02","9.675787e+02","3.865607e+02","3.504755e+03","1.770137e+03","1.156527e+02","8.635667e+02","1.188919e+03","   0.000","0"
"V600","5.607090e+01","6.398079e+00","1.968029e-01","7.265300e+01","6.972975e+02","1.037310e+02","9.095083e+01","2.215450e+02","2.229389e+02","2.657229e+02","1.466176e+03","6.174498e+02","3.961723e+02","3.334471e+02","5.286435e+02","1.051696e+03","9.180957e+02","1.004928e+03","2.169622e+03","2.273276e+03"," 3.999387e+02","3.341186e+02","3.607379e+02","7.299579e+02","8.107186e+01","1.276797e+03","8.964350e+02","3.165383e+02","1.812146e+03","1.870355e+03","1.087291e+03","3.134047e+01","2.053041e+02","1.649764e+03","7.453585e+02","4.851421e+02","2.593391e+03","5.483406e+02","2.830639e+03","2.595662e+04","5.072392e+03","1.397427e+03","5.640790e+02","4.730587e+02","2.867276e+03","1.069486e+03","1.245462e+03","5.933808e+02","6.972850e+02","2.556158e+03","3.177436e+03","2.225936e+03","2.940362e+03","1.444697e+03","   0.000","0"
"V601","5.305583e+02","4.695446e+01","6.028402e+00","1.867990e+02","2.085763e+03","2.567031e+02","2.946384e+02","4.206251e+02","2.502730e+02","9.136477e+02","1.445653e+03","6.585669e+02","8.398918e+02","5.426646e+02","1.029541e+03","1.331054e+03","7.917936e+02","1.088857e+03","2.499925e+03","3.298786e+03"," 4.042968e+02","5.446009e+02","4.030900e+02","1.384459e+03","9.080711e+01","5.139946e+02","4.295118e+03","9.773324e+02","2.342956e+03","2.838200e+03","1.059098e+03","2.495738e+02","2.136861e+02","1.212032e+03","3.504422e+02","1.373589e+03","4.346756e+02","3.413504e+02","9.443959e+02","1.247128e+03","2.517037e+04","3.406708e+03","4.341593e+03","2.064978e+04","1.647792e+03","8.680651e+02","4.785606e+02","3.635574e+02","5.591660e+02","2.653298e+03","4.094840e+03","6.459156e+02","2.928949e+03","2.771578e+03","   0.000","0"
"V602","6.439310e+02","1.789636e+01","1.362106e+00","7.835995e+01","6.941872e+02","3.877173e+01","1.953210e+02","1.969485e+02","1.305398e+02","1.347796e+02","8.528266e+02","1.339642e+02","3.721712e+02","2.808326e+02","1.634404e+02","2.065953e+02","1.748601e+02","1.723347e+02","4.899131e+02","6.851213e+02"," 7.695456e+01","1.782331e+02","8.145634e+01","1.262372e+03","7.802640e+01","6.240942e+02","1.251736e+03","2.882493e+02","5.294538e+02","1.752208e+03","3.560082e+03","5.205906e+01","1.024707e+02","1.635064e+03","6.888208e+01","3.710768e+02","1.146606e+02","9.237438e+01","1.533343e+02","2.302109e+02","1.463072e+03","5.258884e+03","4.205186e+03","2.211793e+02","3.945833e+02","1.615255e+02","1.779823e+02","6.742401e+01","1.163921e+02","1.714810e+03","2.509720e+03","1.589469e+03","8.687004e+02","5.321342e+02","   0.000","0"
"V603","9.087565e-02","9.599624e-03","0.000000e+00","2.184089e-01","1.400175e+00","2.882359e-01","2.088104e-01","4.963952e-01","4.716821e-01","1.286507e+00","2.307988e+01","2.556680e+00","1.305177e+00","8.394626e-01","1.567993e+00","2.681549e+00","4.621546e+00","6.511657e+01","7.506006e+00","7.984312e+00"," 1.535998e+00","9.829633e-01","1.142373e+00","1.814309e+01","3.687459e-01","2.718305e+00","1.831849e+00","5.960350e-01","4.259625e+00","3.352677e+00","2.451473e+00","4.068567e-02","4.392584e-01","3.778340e+00","1.640379e+00","4.454606e-01","4.841813e+00","9.663353e-01","6.294553e+00","5.900647e+01","9.374994e+03","2.960702e+04","3.321159e+03","8.474142e-01","5.286782e+00","1.940330e+00","8.372972e+00","1.069676e+00","1.058399e+00","5.130205e+01","1.327708e+01","5.628671e+00","5.836084e+00","1.369554e+00","   0.000","0"
"V604","6.334480e+02","2.030391e+01","1.213835e+00","7.965083e+01","4.191706e+03","4.426026e+02","5.784809e+02","6.153745e+02","7.192256e+02","6.292083e+02","1.852430e+03","7.461880e+02","1.313755e+03","1.062762e+03","8.147484e+02","2.343400e+03","1.083070e+03","1.386682e+03","3.713186e+03","4.904662e+03"," 5.894195e+02","9.866527e+02","7.028477e+02","2.237849e+03","1.157166e+02","9.611029e+02","1.875133e+04","4.249656e+03","1.118726e+04","2.085645e+04","1.063229e+03","8.945930e+01","8.643679e+01","2.332501e+03","5.057529e+02","9.000299e+03","8.613879e+02","7.001964e+02","6.088842e+03","1.315528e+03","1.032699e+04","3.571711e+03","9.083064e+02","1.912349e+04","7.787534e+03","4.479723e+03","7.047972e+02","1.010061e+03","8.650190e+02","6.846916e+03","8.301754e+03","1.186501e+03","7.278586e+03","2.745287e+03","   0.000","0"
"V605","1.413765e+02","6.319432e+00","1.081895e+00","1.738195e+02","4.847542e+03","1.213674e+02","1.763038e+02","4.451079e+02","3.636312e+02","1.195245e+03","2.598095e+03","8.069556e+02","1.089450e+03","8.770104e+02","1.130745e+03","1.023792e+03","1.085228e+03","2.126170e+03","6.842379e+03","5.998982e+03"," 4.801223e+02","4.941335e+02","8.541902e+02","1.235094e+03","8.670229e+01","6.484514e+02","1.998891e+03","8.451033e+02","3.325895e+03","4.450781e+03","7.270921e+02","2.653604e+01","3.187912e+01","3.433735e+02","1.453981e+02","3.964745e+02","7.669154e+02","3.239121e+02","6.319513e+02","2.297011e+03","1.333834e+04","4.708049e+03","2.110474e+03","1.420700e+04","2.804709e+04","9.695983e+03","7.742736e+02","8.466264e+02","2.512018e+03","1.106992e+04","2.330822e+03","3.919171e+02","1.930182e+03","8.803230e+02","   0.000","0"
